Frequency	56.17410278
Nucleus	Unknown
0.00984015744251908	16123.0	1071.0
0.00988815821053137	5786.0	12801.0
0.009936158978543658	-10946.0	12078.0
0.009984159746555945	-15172.0	-3557.0
0.010032160514568234	-1996.0	-12705.0
0.010080161282580522	12831.0	-9047.0
0.01012816205059281	15316.0	8427.0
0.010176162818605098	-790.0	17091.0
0.010224163586617386	-14591.0	6012.0
0.010272164354629675	-12744.0	-7512.0
0.010320165122641963	4389.0	-15946.0
0.010368165890654252	13840.0	-3434.0
0.010416166658666539	11003.0	12181.0
0.010464167426678828	-7655.0	14146.0
0.010512168194691116	-17631.0	-34.0
0.010560168962703405	-7343.0	-14792.0
0.010608169730715692	7864.0	-11193.0
0.01065617049872798	14848.0	2319.0
0.010704171266740269	4944.0	16290.0
0.010752172034752558	-12517.0	10237.0
0.010800172802764844	-14808.0	-5083.0
0.010848173570777133	-1474.0	-15897.0
0.010896174338789422	14204.0	-7527.0
0.01094417510680171	12087.0	8290.0
0.010992175874813997	-1850.0	15806.0
0.011040176642826286	-14890.0	4681.0
0.011088177410838574	-11729.0	-10118.0
0.011136178178850863	4495.0	-16229.0
0.01118417894686315	13824.0	-1344.0
0.011232179714875438	9332.0	12744.0
0.011280180482887727	-7581.0	14105.0
0.011328181250900016	-16332.0	-1346.0
0.011376182018912304	-5558.0	-15483.0
0.011424182786924591	10161.0	-10691.0
0.01147218355493688	15088.0	2928.0
0.011520184322949168	2676.0	14601.0
0.011568185090961457	-11224.0	8395.0
0.011616185858973744	-13482.0	-7085.0
0.011664186626986033	609.0	-14402.0
0.011712187394998321	14293.0	-6612.0
0.01176018816301061	12606.0	9622.0
0.011808188931022897	-4947.0	14164.0
0.011856189699035185	-13849.0	2978.0
0.011904190467047474	-9938.0	-12251.0
0.011952191235059762	7891.0	-13239.0
0.01200019200307205	15558.0	293.0
0.012048192771084338	7069.0	13634.0
0.012096193539096627	-11980.0	12590.0
0.012144194307108915	-15750.0	-2051.0
0.012192195075121202	-4683.0	-15395.0
0.01224019584313349	12164.0	-8337.0
0.01228819661114578	13325.0	5624.0
0.012336197379158068	-1771.0	16277.0
0.012384198147170357	-12365.0	6519.0
0.012432198915182643	-12717.0	-9433.0
0.012480199683194932	1649.0	-15001.0
0.01252820045120722	14236.0	-5660.0
0.01257620121921951	8821.0	11409.0
0.012624201987231796	-3780.0	13892.0
0.012672202755244085	-14905.0	1086.0
0.012720203523256373	-8111.0	-10253.0
0.012768204291268662	8373.0	-13896.0
0.012816205059280949	15309.0	2057.0
0.012864205827293237	5067.0	14511.0
0.012912206595305526	-9005.0	11185.0
0.012960207363317815	-14421.0	-4594.0
0.013008208131330102	-1455.0	-13897.0
0.01305620889934239	13452.0	-9128.0
0.013104209667354679	13514.0	7600.0
0.013152210435366967	110.0	14266.0
0.013200211203379254	-12670.0	6414.0
0.013248211971391543	-13354.0	-7706.0
0.013296212739403832	4258.0	-14725.0
0.01334421350741612	14453.0	-4326.0
0.013392214275428409	8621.0	11972.0
0.013440215043440696	-6814.0	12002.0
0.013488215811452984	-13192.0	-362.0
0.013536216579465273	-6183.0	-13349.0
0.013584217347477561	8087.0	-10564.0
0.013632218115489848	15155.0	4002.0
0.013680218883502137	2500.0	13126.0
0.013728219651514426	-11999.0	8333.0
0.013776220419526714	-13524.0	-5161.0
0.013824221187539001	-1176.0	-14631.0
0.01387222195555129	12454.0	-6133.0
0.013920222723563578	12382.0	6724.0
0.013968223491575867	-4409.0	14786.0
0.014016224259588154	-14922.0	4225.0
0.014064225027600442	-9891.0	-11995.0
0.014112225795612731	6460.0	-13885.0
0.01416022656362502	14928.0	-855.0
0.014208227331637307	8067.0	12418.0
0.014256228099649595	-9219.0	10743.0
0.014304228867661884	-13070.0	-4394.0
0.014352229635674172	-3242.0	-13232.0
0.014400230403686461	8890.0	-11552.0
0.014448231171698748	14071.0	3611.0
0.014496231939711036	2684.0	14229.0
0.014544232707723325	-11147.0	7900.0
0.014592233475735614	-12648.0	-8593.0
0.0146402342437479	415.0	-15356.0
0.01468823501176019	12719.0	-6243.0
0.014736235779772478	8702.0	9184.0
0.014784236547784766	-4683.0	12605.0
0.014832237315797053	-13082.0	1478.0
0.014880238083809342	-8759.0	-11641.0
0.01492823885182163	8104.0	-14205.0
0.014976239619833919	14525.0	1836.0
0.015024240387846206	4199.0	12217.0
0.015072241155858495	-8845.0	10790.0
0.015120241923870783	-15836.0	-2082.0
0.015168242691883072	-1935.0	-14512.0
